title,video_id,description,published_at,duration,views,likes,comments
Transforming Application Modernization with AWS Generative AI | Amazon Web Services,2R3L_4wB18g,Discover how AWS partners are using Generative AI to accelerate application modernization journeys for their customers. In this ...,2024-09-20T21:51:26Z,3:47,1058,28,0
Manage users and groups in AWS Managed Microsoft AD using CRUD APIs | Amazon Web Services,GJK567cuBu0,In this video we show you how you can manage users and groups in AWS Managed Microsoft AD using AWS Directory Service ...,2024-09-20T19:51:50Z,10:56,680,21,1
Amazon WorkSpaces BYOL image upload process (Part2) | Amazon Web Services,fhAB2BfKiEs,"In this video, we pick up where we left off in part 1 after creating the S3 bucket. We will walk through the final steps of creating the ...",2024-09-20T19:22:37Z,9:42,643,13,0
Configuring Amazon WorkSpaces Pools with Okta (Part One) | Amazon Web Services,Du7jSdc1wpQ,"In this video, we will walk through part one of end-to-end setup of Amazon WorkSpaces Pools with Okta. Resources: ...",2024-09-20T00:00:09Z,10:59,632,8,1
Configuring Amazon WorkSpaces Pools with Okta (Part Two) | Amazon Web Services,kMpyIHeeHNs,"In this video, we will walk through part two of end-to-end setup of Amazon WorkSpaces Pools with Okta. Resources: ...",2024-09-20T00:00:20Z,9:9,598,7,0
Solving with AWS Solutions: Amazon MGM Studios visualizes AWS resources | Amazon Web Services,-kSJaG_ZAss,Learn how Amazon MGM Studios uses Workload Discovery on AWS to visualize the inventory of resources in their AWS ...,2024-09-19T21:54:42Z,2:5,583,17,0
Behind the F1 AWS Grand Prix du Canada Trophy | Amazon Web Services,VnCaTMincpM,Learn more about why F1 chooses AWS: https://go.aws/formula1 Subscribe: More AWS videos: https://go.aws/3m5yEMW More ...,2024-09-19T18:09:40Z,5:21,1007,24,0
Back to Basics: Using AWS Config and Conformance Packs to Optimize Your Database,yRchvd1h3Qc,"It is crucial that you implement various best architectural practices when using Amazon Relational Database Service (RDS), such ...",2024-09-19T17:57:58Z,5:16,538,16,0
AWS - Developer Stories | Amazon Web Services,4Af-1RK2dTY,"Reach users where they are with real-time data streams to elevate your app across TV, blogs, & social media. ☁️     Learn ...",2024-09-19T17:42:57Z,1:,957,22,0
AWS Supports Software Companies innovate and grow their applications | Amazon Web Services,jqxRlO7j-Dw,"Hear how amazee.io, Nexthink, Showpad, Swiss Aviation, Secutix have leveraged the AWS cloud to grow their business and ...",2024-09-18T16:40:44Z,1:29,539,9,1
Disrupt or Be Disrupted: Cultivating Resilience Through Innovation | Amazon Web Services,Gpu7VzMl6-g,The concept of 'business resilience' traditionally centers on an organization's capacity to handle failures and endure disruptions.,2024-09-17T23:03:48Z,16,1122,19,0
AWS - Developer Stories | Amazon Web Services,BAI8W_JXQmw,Solidify your upstart app's major league status with optimized customer touchpoints and notifications. ☁️  ⚽ Learn more about ...,2024-09-17T21:18:24Z,1:,1238,52,3
Launch and zero-touch enroll Amazon EC2 Mac into Jamf | Amazon Web Services,8JOCR7-cOjc,"In this video, learn how to set up zero-touch enrollment of AWS EC2 Mac instances into Jamf Mobile Device Management (MDM).",2024-09-17T20:50:12Z,31:11,636,12,4
Accelerate FM pre-training on Amazon SageMaker HyperPod (Amazon EKS) | Amazon Web Services,mYiZOYlpoO0,Amazon SageMaker HyperPod is purpose-built to reduce time to train foundation models (FMs) by up to 40% and scale across ...,2024-09-17T18:55:01Z,34:36,1076,16,0
Accelerate FM pre-training on Amazon SageMaker HyperPod (Slurm): Intro | Amazon Web Services,DnXBmqA6jtc,Amazon SageMaker HyperPod is purpose-built to reduce time to train foundation models (FMs) by up to 40% and scale across ...,2024-09-17T18:54:40Z,4:44,510,14,0
Refactor a monolithic Lambda function with Amazon Q Developer Agent | Amazon Web Services,U0ZSldhbWs8,Are you looking to speed up the development of new features for your applications? With Amazon Q Developer Agent for software ...,2024-09-17T00:45:52Z,1:29,1137,24,1
Orion Cuts Storage Costs by 65% with Amazon FSx for NetApp ONTAP | Amazon Web Services,bgDOtMMvxxk,"Discover how Orion, a leading wealth tech company, slashed its storage costs by 65% by leveraging AWS and Amazon FSx for ...",2024-09-16T23:40:20Z,1:16,746,21,2
AWS - Developer Stories | Amazon Web Services,vEIvkKI2kI8,"Developers, explore what is possible when building the capabilities of your application and unlock the power of AWS to elevate ...",2024-09-16T21:41:42Z,53,1048,46,1
How do I enforce TLS 1.2 or later for my Amazon S3 buckets?,FnSLse_pTb8,"For more details on this topic, see the Knowledge Center article associated ...",2024-09-15T19:05:24Z,1:57,1015,40,0
How do I set up custom email notifications for Security Hub findings with EventBridge and SNS?,IzsMHbYTdDo,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-09-15T18:40:58Z,3:45,752,26,0
80 startups shaping the future of generative AI | Amazon Web Services,QjegpWFvEDU,AWS is thrilled to announce the 80 innovative companies selected for the AWS Generative AI Accelerator! These startups have the ...,2024-09-13T20:48:52Z,56,1062,21,6
ABAC Attribute based access control for DynamoDB - Amazon DynamoDB Nuggets | Amazon Web Services,htCsMpRl-10,Attribute Based Access Control (ABAC) for Amazon DynamoDB presented by Esteban Serna Sr. DynamoDB Specialist Solution ...,2024-09-13T19:09:53Z,8:31,500,7,2
AWS Innovation with Epsilon Digital Marketing | Innovation Ambassadors,5jwrfO5hJng,"On this episode we're showcasing the journey of Epsilon Digital Marketing - a global leader in outcome-based marketing, helping ...",2024-09-13T19:06:09Z,29:53,509,7,0
DSU - Banking on Data: How a data strategy can transform Financial Services | Amazon Web Services,9Ja25nvZBdk,"In today's digital age, data has become a critical asset for banks to stay competitive and deliver exceptional customer experiences.",2024-09-13T18:04:28Z,13:15,846,24,1
How Kelyn Technologies is Revolutionizing Disaster Recovery with AWS and CleanSlate,XcA3Tr3Eop0,Discover how Kelyn Technologies leveraged AWS and the expertise of AWS Partner CleanSlate to bring enterprise-level disaster ...,2024-09-13T17:37:29Z,2:29,470,17,2
Back to Basics: Best Practices for Selecting Inference Options to Deploy SageMaker ML Models,QQKOhwZHPAI,Learn how to choose the best Amazon SageMaker inferencing option for deploying your machine learning models based on your ...,2024-09-12T14:59:19Z,5:36,934,26,0
Migrating between external identity providers in IAM Identity Center | Amazon Web Services,A87tSiBdSnU,We will show you to migrate from your currently SAML 2.0 identity provider to a new one in IAM Identity Center. The demo includes ...,2024-09-11T18:43:37Z,8:11,987,15,1
Migrating your rules from AWS WAF Classic to AWS WAF | Amazon Web Services,19WKEBZBID8,"Migrating your Web ACLs from AWS WAF Classic to AWS WAF provides enhanced security, performance, and streamlined ...",2024-09-11T17:57:16Z,15:3,1762,21,5
Transforming NFL Player Care with AWS and AI | Amazon Web Services,EuKBorNcI-A,"In collaboration with AWS, the NFL Player Care Foundation has created a new initiative that leverages Amazon SageMaker to ...",2024-09-10T18:14:05Z,1:40,908,37,2
FarmByte Plants the Seeds of AI-Driven Agriculture in Malaysia | Amazon Web Services,PgUdy1yj9CA,"Learn how FarmByte, a digital agrofood innovator in Malaysia, is revolutionizing agriculture on AWS. By leveraging the FarmByte ...",2024-09-10T17:39:20Z,3:10,972,26,0
AWS Escape Room: Exam Prep for AWS Certified AI Practitioner | Amazon Web Services,0XKgyQ8yCas,Looking for a fun way to get ready for your exam? Prepare to become an AWS Certified AI Practitioner in a 3D virtual escape room ...,2024-09-10T16:00:27Z,2:2,1824,31,9
AWS and NFL - Tackle Probability | Amazon Web Services,wqvAiuC7d7U,"In the high-stakes world of professional football, every fraction of a second counts. A defender's split-second decision can be the ...",2024-09-09T22:26:11Z,1:54,2161,37,2
Amazon Lex: QnAIntent - Exact Match | Amazon Web Services,qXWzlYqAR6M,"In this video how you can use the QnAIntent in Amazon Lex together with Knowledge bases for Amazon Bedrock, to provide ...",2024-09-09T19:46:10Z,4:15,815,10,0
"AWS for Software Companies, Customer Interview, Trellix | Amazon Web Services",ot12YJoqtzw,"This short video provides market trends and insights from AWS customer, Trellix. Harold Rivas, CISO, shares how AWS helps ...",2024-09-06T23:02:09Z,1:49,351,7,2
"AWS for Software Companies, Customer Interview, Illumio | Amazon Web Services",ev8t_yQ54dI,"This short video provides market trends and insights from AWS customer, Illumio. Mario Espinoza, CPO, shares how AWS helps ...",2024-09-06T23:02:20Z,1:46,226,6,0
"AWS for Software Companies, Customer Interview, Sysdig | Amazon Web Services",LBT083OOJ9E,"This short video provides market trends and insights from AWS customer, Sysdig. Mike McGrath, Sales Director- Partners, shares ...",2024-09-06T23:02:28Z,1:41,858,14,0
Enhanced suggestions in Amazon CloudWatch Internet Monitor | Amazon Web Services,EKCGtim7PAo,"In this video, you'll explore new look of Amazon CloudWatch Internet Monitor with improved suggestions to gain visibility and ...",2024-09-06T21:46:20Z,5:15,652,15,0
Amazon WorkSpaces BYOL Image Upload (Part 1) | Amazon Web Services,tHvTo2jRH7Q,"In this video, we will walk through installing and setting up Amazon's Command Line Interface or CLI and how to create an ...",2024-09-06T18:05:03Z,5:15,833,19,1
Deciding between Amazon WorkSpaces Desktop Options | Amazon Web Services | Amazon Web Services,qAHUtaVFw7I,"In this video, I show how easy it is to determine if customers use case better suits Amazon WorkSpaces Personal or Amazon ...",2024-09-05T20:29:14Z,11:8,990,18,0
Generative AI Journeys - Fireside Chat with Krikey AI | Amazon Web Services,cbY02k7vH3Y,"Join Swami Sivasubramanian, senior vice president of AI and ML at AWS, as he talks to Jhanvi Shriram (CEO) and Dr. Ketaki ...",2024-09-04T23:59:07Z,16:6,750,9,0
Articul8 AI built generative AI solution using Amazon SageMaker HyperPod | Amazon Web Services,Mf-ma_bE4WI,Generative AI software company Articul8 AI rapidly developed a full-stack generative AI solution using Amazon SageMaker ...,2024-09-04T23:48:11Z,1:36,750,9,3
AWS Information Infrastructure Workshop (I2W) for Educators | Amazon Web Services,-BIve04H4sk,AWS Information Infrastructure Workshop (I2W) for Educators is a one-day professional development experience to help ...,2024-09-04T23:34:09Z,1:39,426,7,0
How Stride Learning Transforms Reading with AI-Powered Storybooks | Amazon Web Services,0C8yS5DoZps,Discover how Stride Learning's Legend Library is revolutionizing reading comprehension for K-4 students! This AI-driven ...,2024-09-04T17:51:42Z,1:44,723,14,0
Data Strategy for Linguistic AI: Expert Insights from RWS | Amazon Web Services,XuDwbR2e8YU,"In this insightful episode, we explore critical components of a data strategy for delivering Linguistic AI use-cases. Join Matthew ...",2024-09-04T17:17:12Z,1:3:47,717,14,0
"A2A Chooses AWS, Delivers Services More Sustainably | Amazon Web Services",VpkUQPchrWU,"Leading Italy-based energy, water, and waste services provider A2A uses Amazon Web Services (AWS) Regions in Europe to ...",2024-09-03T19:07:06Z,1:26,495,11,1
AWS Security Hub central configuration | Amazon Web Services,125GXLxQl_8,Central configuration is a Security Hub feature that helps you set up and manage Security Hub across multiple AWS accounts and ...,2024-09-03T17:06:47Z,6:43,1745,24,0
Standard Bank Group migrates to the cloud with speed and scale with AWS Managed Services,y70xOLVSu9w,Standard Bank Group is a financial services organization based in South Africa that operates in 22 countries across the world.,2024-08-30T23:40:48Z,1:41,1319,37,2
Red Oak Strategic and AWS: Powering the Future of Elections | Amazon Web Services,JsdX9DU8cIA,"Tyler Sanders, Head of Engineering at Red Oak Strategic, details how his team collaborated with AWS to manage the complex ...",2024-08-30T23:40:43Z,1:39,529,9,0
Back to Basics: Infrastructure as Code for Generative AI Models,4POgDiKQFpk,"As enterprises embrace generative AI, robust infrastructure becomes crucial for scalable, reliable deployments. Join Neelam as ...",2024-08-29T19:08:29Z,7:2,2849,70,3
AWS Cloud Security | Amazon Web Services,T4svAhNLNfc,Strong security at the core of an organization enables digital transformation and innovation. AWS helps organizations to develop ...,2024-08-29T18:16:49Z,1:24,1836,40,1
AWS Cloud Institute Emerging Talent | Moises&#39;s story | Amazon Web Services,y49TwOQYbQ4,"Learn how Moises is finding community, confidence, and clarity as he fast tracks his way to tech with AWS Cloud Institute.",2024-08-28T22:59:13Z,44,401,12,3
AWS Cloud Institute Emerging Talent | Launch your cloud career | Amazon Web Services,tCHjISvFn9I,"Learn how Miguel, Moises, Nora, and Sherri are finding community, confidence, and clarity as they fast track their way to tech with ...",2024-08-28T22:59:06Z,54,740,19,1
Why customers run their Microsoft workloads on AWS | Amazon Web Services,ZjnyWTGK8mY,We have been investing in making AWS the best place to run Microsoft workloads since 2008—longer than any other major cloud ...,2024-08-28T21:50:33Z,15:13,528,15,1
AWS Championship Field at Hermiston Oregon Sportsplex | Amazon Web Services,Yn0rDCSJDog,"This video highlights an AWS donation to a local youth sportsplex in Hermiston, Oregon. Learn more at: https://go.aws/home ...",2024-08-28T19:07:44Z,1:1,405,11,1
Extend Amazon Managed Grafana with Grafana community plugins | Amazon Web Services,ULeqZWZaR8s,"In this video, you'll see how to extend your Amazon Managed Grafana experience with Grafana community plugins. By leveraging ...",2024-08-28T19:07:48Z,4:24,371,13,0
IAM Policy Evaluation Series: Conditions | Amazon Web Services,4PJienr4gZI,"Learn how IAM policy evaluation works, compare different ways to write resource-based policies, and gather practical guidance ...",2024-08-28T18:36:11Z,40:19,781,24,1
How do I troubleshoot CORS errors from my Amazon API Gateway API?,6VYOvZynKXo,"Skip directly to the demo: 0:08 For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-08-28T17:38:09Z,3:41,977,21,1
Grindr: Leveraging Dynamo and Aurora to Build an Enhanced Chat System,6uEX5RKd0Bk,"Grindr is the largest social networking app for gay, bi, trans, and queer people, with more than 13 million monthly active users in ...",2024-08-27T17:47:50Z,6:45,3914,88,6
Cost Optimizer for Amazon WorkSpaces 2.7 | Amazon Web Services,TsoHhY3Cjm4,The Cost Optimizer for Amazon WorkSpaces is a tool that analyzes Amazon WorkSpaces usage data and can automatically ...,2024-08-27T17:36:24Z,5:51,570,12,0
Bayer Crop Science uses generative AI to accelerate innovation and scale regenerative agriculture,cjrDdfEtDv4,Bayer Crop Science is at the forefront of revolutionizing agriculture through cutting-edge technology and sustainable practices.,2024-08-27T17:28:31Z,1:24,938,14,0
Why do I get the “The AWS Access Key Id you provided does not exist in our records” error?,TbelGwvkBz0,"Skip directly to the demo: 0:08 For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-08-26T23:10:36Z,4:5,1112,37,19
How do I check my AWS account for active resources that I no longer need?,SM4kX67b34g,"Skip directly to the demo: 0:08 For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-08-26T23:10:31Z,1:45,662,9,5
BankUnited built a Generative AI Solution on AWS to transform operations &amp; improve customer support,UngBoz2JUhQ,"Banks are transforming operations to create efficiencies and enhance customer support. In this video, Jeiner Morales, SVP and ...",2024-08-26T19:00:42Z,1:35,1255,22,1
How do I reset the admin user password for my Amazon RDS DB instance?,49yUB6m7bQA,"Skip directly to the demo: 0:08 For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-08-26T16:38:44Z,2:1,825,7,0
How do I troubleshoot an HTTP 500 or 503 error from Amazon S3?,6lPhGEM8ccw,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-08-26T13:59:32Z,4:36,698,10,5
"SAP Concur migrates over 85,000 SQL Server databases to Amazon Web Services | Amazon Web Services",H2gvCFRey6Y,"SAP Concur successfully migrated over 85000 SQL Server databases to AWS in about 8 months, resulting in a 72% reduction in ...",2024-08-23T23:49:27Z,1:43,2308,38,15
Back to Basics: Building Data Domains for Simplified Data Collaboration at Scale,iENbT3xrJHQ,Break down data silos and empower your teams with self-service access to curated datasets - all while maintaining governance ...,2024-08-22T21:11:54Z,5:2,1151,29,2
Simplified application modernization and migration | Amazon Web Services,iop3kTeQMI0,Discover how Confluent Cloud can add enterprise-grade features to Kafka and be the cornerstone of anenterprise ...,2024-08-22T20:18:23Z,7:5,693,6,0
Devoteam and AWS Help Customers Navigate the generative AI Landscape | Amazon Web Services,ok6vQNE0ks4,"Devoteam, an AWS Premier Partner with the Gen AI competency, helps customers navigate the challenges of implementing ...",2024-08-22T19:25:27Z,1:24,380,3,0
Taco Bell migrates ecommerce to AWS serverless with Trek10 cuts cost by 90% | Amazon Web Services,TYOmNyK9fYI,Taco Bell is known for innovation in the QSR space but not many people know that we're striving to be second to none with our ...,2024-08-22T18:39:10Z,2:37,1471,39,6
Now Open: AWS Malaysia Region | Amazon Web Services,rONQ82c4TmU,We are excited to announce the new AWS Asia Pacific (Malaysia) Region is now available! The AWS Asia Pacific (Malaysia) ...,2024-08-22T00:59:43Z,35,6209,133,24
Forcura Elevates Patient Care with Amazon Bedrock and Anthropic&#39;s Claude | Amazon Web Services,fYqTcaoDyQU,"In this video, David Kerr, Chief Technology Officer at Forcura, unveils how the company is revolutionizing patient care with ...",2024-08-21T22:59:00Z,3:10,834,12,1
nCino Transforms Financial Services with Amazon Bedrock and Anthropic&#39;s Claude | Amazon Web Services,9X_TRZCIN3M,"Banking is going through an AI revolution, and nCino is leading the charge. In this video, Don Permezel, nCino's VP of Data & AI, ...",2024-08-21T22:41:26Z,5:26,1084,20,1
AWS Customer Success Story: Axis Bank | Amazon Web Services,jbo9zfUvWFs,"Discover how Axis Bank, a digital banking pioneer in India, built on AWS to drive innovation and enhance customer-centricity.",2024-08-21T18:34:23Z,2:59,654,22,2
How do I troubleshoot &quot;429 Too Many Requests&quot; or &quot;Limit Exceeded&quot; errors on my API Gateway REST API?,uLSotaYR7Ng,"Skip directly to the demo: 0:08 For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-08-21T15:47:37Z,3:57,899,19,7
How do I use resource policies to restrict access to my API Gateway from source IP address ranges?,rPcJrynuX98,"Skip directly to the demo: 0:08 For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-08-21T15:33:54Z,3:4,323,8,0
Playtech delivers great end user experiences with Amazon CloudFront | Amazon Web Services,HbgVRcmIJ4w,Discover how Playtech leverages Amazon CloudFront to deliver low latency and highly available video streaming services.,2024-08-20T21:28:09Z,1:43,653,11,1
Peloton: Improved Customer Satisfaction and Engagement Powered by Real-Time Recommendations,ym_Gz_zH7w8,"Peloton's journey from daily batch recommendations, to contextually-aware real-time recommendations, reflects the expansion of ...",2024-08-20T20:49:00Z,5:57,1837,25,3
Troubleshoot your Amazon EC2 Windows instance using the EC2 Serial Console | Amazon Web Services,B-uF9akNIFI,"By using EC2 Serial Console, you can troubleshoot boot, network configuration, and other issues by connecting to your instance's ...",2024-08-20T19:27:09Z,9:32,885,18,0
Episode 2 - Data Sharing for Local Authorities and Central Government | Amazon Web Services,GwI-ZPrPfaA,"This episode is presented by Alejandra Catalina Abrusci (Senior Solutions Architect, AWS UK), and Maria John (Senior Solutions ...",2024-08-20T19:11:35Z,19:4,315,5,2
Episode 3 - Improve Demand Forecasting to Reduce Excess Inventory | Amazon Web Services,g_Ix6ycyox8,"This episode is presented by Sujata Singh (Enterprise Solutions Architect, AWS UK), covering the challenges of customers in the ...",2024-08-20T19:11:39Z,26:3,346,20,1
Episode 5 - Automated Press Article Generation | Amazon Web Services,4yA8MtPkmag,"This episode is presented by Radhika Jakkula (Big Data Prototyping Solutions Architect, AWS London), describing a use case ...",2024-08-20T19:11:49Z,13:23,342,11,0
UK Women SA Tech Talks - Introduction | Amazon Web Services,33NxeSLgB1E,"This is an introduction video presented by Urmila Raju (Senior Solutions Architect, AWS London) and Lewis Taylor (Solution ...",2024-08-20T19:11:26Z,2:18,300,4,1
Episode 7 - Improving Patient Care using AWS Health Care Services | Amazon Web Services,lVkXkqcC4eQ,"This episode is presented by Apurwa Pawar (Solutions Architect, AWS London), talking about healthcare industry, existing ...",2024-08-20T19:11:58Z,27:41,865,15,1
Episode 6 - Game Servers on AWS | Amazon Web Services,I2CXG6GrMfs,"This episode is presented by Rieha Burrell (Solutions Architect, AWS UK) discussing and exploring the options for hosting your ...",2024-08-20T19:11:53Z,13:4,451,11,0
Future Self – AWS AI &amp; ML Scholars Shaping the Future,e1J4Ok-4IQQ,"Learn more about the AWS AI & ML Scholarship program: https://go.aws/3V9twGy Using AI for social good, these AWS AI & ML ...",2024-08-20T19:01:17Z,1:18,1130,9,0
Future Self – E6 Meet Prerana Sapkota | AWS Scholarship,Vt9IkwiZB-E,Learn more about the AWS AI & ML Scholarship program: https://go.aws/3V9twGy Driven by her love for Nepal and a desire to ...,2024-08-20T18:59:47Z,3:41,11249,167,19
Ericsson and AWS: Driving Telecom Innovation with Generative AI Expertise | Amazon Web Services,C2dz4t-gIeE,"Pierre Gustafsson, head of the business management function for AI at Ericsson, looks at the combination of Ericsson telecom ...",2024-08-19T21:30:32Z,1:19,1391,33,0
Migrate a Virtual Machine from GCP to AWS using AWS Application Migration Service (MGN),oZOH9luR5rI,This video walks you through the steps of migrating a Virtual Machine from Google Cloud Platform to Amazon EC2 using AWS ...,2024-08-16T22:48:46Z,11:26,1576,25,1
"AWS for Software Companies, Customer Interview, Glean | Amazon Web Services",ICzC9jATnqQ,"This short video provides market trends and insights from AWS customer, Glean. AJ Tennant, Vice President of Sales and ...",2024-08-16T21:00:25Z,2:34,719,12,0
"AWS for Software Companies, Customer Interview, Domo | Amazon Web Services",G08i_0Pj_0g,"This short video provides market trends and insights from AWS customer, Domo. Joe Clark, Software Architect, shares how AWS ...",2024-08-16T20:58:38Z,2:20,350,17,0
AWS Innovation with TaxDown | Innovation Ambassadors,rzByGdnRkyI,"On this episode of Innovation Ambassadors, we're showcasing the journey of TaxDown - a startup reshaping tax management in ...",2024-08-15T18:22:07Z,28:37,703,15,0
"Back to Basics: Building Fan-Out Serverless Architectures Using SNS, SQS and Lambda",CEj0yyubNgQ,Learn how to use fan-out messaging patterns with Amazon SNS to build decoupled and scalable distributed microservice ...,2024-08-15T12:09:38Z,5:17,1188,39,1
Introducing Amazon Simple Email Service Mail Manager | Amazon Web Services,WWNMk08fhN8,Join AWS solutions architects in this video as they go in depth into Amazon SES Mail Manager. They will go over how you can ...,2024-08-14T22:25:54Z,9:34,1315,31,0
Evaluate your Security &amp; Compliance Posture using AWS Security Hub and Integrating APN Solutions,hJy3Pxb8WRg,AWS Security Hub provides you with a comprehensive view of your security state in AWS and helps you assess your AWS ...,2024-08-13T21:38:02Z,7:28,787,24,6
Vercara UltraDNS Analytics &amp; Operations: Petabyte-Scale Data on Amazon S3 and Amazon Athena,W4QzOaKCX2Y,"Vercara's UltraDNS service produces Domain Name Server (DNS) exhaust (e.g., query, response) of over 500 billion records ...",2024-08-13T15:14:38Z,6:5,1262,23,1
Career Starter: Get the AWS Support Associate Professional Certificate | Amazon Web Services,0amJ0x6_G9E,This professional certificate provides the knowledge and skills you need to start building your career as an AWS Cloud Support ...,2024-08-12T22:36:19Z,3:7,1554,23,1
What is Observability? | Amazon Web Services,XgPQqjTIfkQ,"Welcome to our fireside chat series on Observability with AWS! Join Martyn Storey, Solution Architecture Manager at AWS, and ...",2024-08-12T19:20:47Z,14:19,1072,41,3
Operationalize AWS WAF Web ACL logs with Amazon Security Lake | Amazon Web Services,qPYOsMsHDEM,Amazon Security Lake has recently announced the expansion in log coverage support for AWS Web Application Firewall Logs ...,2024-08-12T15:20:58Z,13:24,721,25,2
How do I assume an IAM role using the AWS CLI?,wKis8bq-uQo,"Skip directly to the demo: 0:21 For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-08-12T14:41:33Z,8:13,1326,32,0
Itaú modernizes 50% of critical workloads using AWS Cloud Governance | Amazon Web Services,3cwsOclupL8,"Itaú Unibanco, the largest private-sector bank in Brazil, built secure pipelines and expedited account provisioning with AWS Cloud ...",2024-08-08T20:47:20Z,1:32,1023,45,2
Back to Basics: Disaster Recovery Patterns for Serverless Applications,257chgorDAo,"Get expert tips on data recovery for Amazon DynamoDB & Aurora, plus patterns to maintain consistency across microservices!",2024-08-08T18:55:04Z,6:2,1128,34,4
"Ubuntu Pro on AWS, share responsibility | Amazon Web Services",QG4YG5891A4,"Under the AWS Shared Responsibility Model, customers are responsible for the security of their instances on Amazon Elastic ...",2024-08-07T23:59:31Z,6:21,457,9,0
"Building Ubuntu LTS, and Pro for AWS | Amazon Web Services",Ek-n394dJnA,"What does it take to bring Ubuntu as an operating (Ubuntu ETLS, Ubuntu Pro) system to AWS EC2. What is the magic under ...",2024-08-07T23:58:56Z,10:49,660,29,0
Harnessing 3D data with Matterport and AWS | Amazon Web Services,UOnwlSuz9WE,"Discover how Matterport uses AWS to power the world's largest library of 3D spatial data. In this video, Preethy Vaidyanathan, VP ...",2024-08-07T23:37:37Z,1:54,452,11,0
Amazon Neptune #GraphThat Series Episode 3 - GenAI and Knowledge Graphs | Amazon Web Services,TWuqFzCQ9iw,The #GraphThat series features Amazon Neptune specialists taking public datasets and converting them to a graph model ...,2024-08-07T23:30:04Z,31:17,831,21,0
Xylem: Serverless Event-Driven IOT Data Collection,UpVF8jMB4yY,"Sensus is a Xylem brand that provides innovative technologies for water, energy, and communication infrastructure.",2024-08-07T14:16:22Z,4:42,1193,19,1
Wētā FX&#39;s Cloud Burst Rendering is Shaping the Future of VFX,j_w1ggCC6Ks,"While preparing their visual effects assets for Avatar 2: The Way of Water, Wētā FX maxed out their on-premises render ...",2024-08-06T23:27:10Z,34,551,21,0
Amazon Cognito Password Reuse Prevention | Amazon Web Services,UMERoBgORV4,"In this video, learn about the Amazon Cognito password reuse prevention feature. This tutorial will walk through configuring the ...",2024-08-06T22:28:17Z,5:25,781,20,1
Metro Retail Optimizes Operational Resilience with AWS | Amazon Web Services,2CM4PvyYFtI,Behind Metro Retail's transformation from a family-run retailer to one of the foremost publicly listed companies in the Philippines is ...,2024-08-05T21:50:17Z,18,1597712,6,0
Using the common control library in AWS Audit Manager | Amazon Web Services,1nv3SkeKq6E,AWS Audit Manager has a common control library that simplifies the process of automating risk and compliance assessments ...,2024-08-05T19:39:42Z,5:26,588,7,2
Amazon Q generative SQL in Amazon Redshift Query Editor Public Preview Demo | Amazon Web Services,4N9IplToB-w,Amazon Q generative SQL capability in Amazon Redshift Query Editor provides SQL code recommendations based on natural ...,2024-08-05T18:46:59Z,19:16,1477,23,2
Self-service observability for Amazon EKS | Amazon Web Services,_lvmZW9BRss,Watch this AWS short to learn how you can fully automate the process of spinning up K8s clusters with Grafana observability ...,2024-08-02T17:14:53Z,4:32,821,15,0
Why choose AWS for RISE with SAP? | Amazon Web Services,p-hB9m6IwRo,"Increasingly, customers are adopting RISE with SAP to support their ERP transformation in the cloud. Learn why thousands of ...",2024-08-01T17:55:02Z,1:29,753,8,0
Why SAP customers choose Amazon Web Services | Amazon Web Services,KcUBu05xmqA,"Since 2008, AWS and SAP have been partnering to help customers migrate to Cloud ERP, innovate faster, and transform their ...",2024-08-01T17:53:51Z,1:20,519,9,0
Amazon Q Developer for .NET in the IDE | Amazon Web Services,sYkl_9FDGcY,"This video will comprise a presentation for the first ~7 minutes, then 3 - 4 minutes of demo in VS Code and Visual Studio.",2024-08-01T17:38:57Z,13:2,1451,16,0
Back to Basics: Design Patterns for Building AWS Multi-Account Organization,ubdJlHrxlXE,"As your AWS cloud footprint expands, implementing a secure and scalable multi-account structure becomes crucial. In this ...",2024-08-01T17:25:36Z,5:20,2132,78,0
Equals Group: Leading with Emotional Intelligence and Empathy | Amazon Web Services,HtG7hknM-7g,"AWS Innovation & Transformation Programs, EPIC team sits down with CTO of Equals Group to discuss how emotional ...",2024-07-31T22:52:51Z,38:14,1036,18,0
Understanding Amazon Security Lake Cost | Amazon Web Services,CbzLCntmgiY,"Amazon Security Lake is a fully managed security data lake, built on S3, in the customers account. Learn about what is, and isn't ...",2024-07-31T22:52:46Z,7:33,806,11,1
"Swyftx: Building Automated, Secure, and Attestable Pipelines from Engineers to Production",npQWtmnuM6s,"For highly regulated environments, preventing mistakes or malicious behavior within your code reaching production is not ...",2024-07-30T15:22:37Z,4:28,1458,34,0
How to Quickly Turn on AWS WAF to Protect Your Web Applications and API’s | Amazon Web Services,cl5_8DCMWoI,AWS WAF is a web application firewall that helps protect your applications or APIs against common web exploits and bots that ...,2024-07-29T22:20:34Z,3:41,1727,38,3
