Name,Location,Category,Bio URL
Daniel Jones,"Bridgend, South Wales, UK",Network Content & Delivery Builder since 2022,https://www.linkedin.com/in/daniel-scott-jones/
Daniel Kneipp,Netherlands,Machine Learning Builder since 2020,https://www.linkedin.com/in/daniel-kneipp/
Daniel Megyesi,"Barcelona, Spain",Containers Builder since 2024,https://linkedin.com/in/dmegyesi
Daniel Morgan,"Gaithersburg, USA",Machine Learning Builder since 2022,https://www.digital-restart.com/
Daniel Muller,"Lisbon, Portugal",Serverless Builder since 2020,https://danielmuller.me/
Daniel Muthoni,"Nairobi, Kenya",Dev Tools Builder since 2022,https://www.linkedin.com/in/daniel-kimani-muthoni
Daniel Nieto,"Palma, Spain",Security Builder since 2020,https://www.linkedin.com/in/dnietog
Daniel Rivera,"Popayan, Colombia",Containers Builder since 2021,https://www.linkedin.com/in/danielrive/
Daniel Schroeder,"Frankfurt, Germany",Dev Tools Builder since 2021,https://www.udondan.com/
Daniel Vargas,"Bogotá, Colombia",Cloud Operations Builder since 2021,https://www.linkedin.com/in/DanielVargasIT
Daniel Zivkovic,"Toronto, Canada",Serverless Builder since 2020,http://www.meetup.com/Serverless-Toronto/
Daniela Barrientos,"Medellín, Colombia",Front-End Web & Mobile Builder since 2021,https://www.linkedin.com/in/danielabarrientos/
Daniele Frasca,"Munich, Germany",Serverless Builder since 2022,https://dfrasca.hashnode.dev/
Daniele Madama,"Lugano / Zürich, Switzerland",Serverless Builder since 2021,https://www.linkedin.com/in/danielemadama
Danilo Sousa,"São Paulo, Brazil",Machine Learning Builder since 2022,https://www.youtube.com/@dan.asousa
Danish Koul,"United Arab Emirates, India",Cloud Operations Builder since 2021,https://www.linkedin.com/in/danishkoul/
Danny Chan,"Hong Kong, China",Serverless Builder since 2023,https://www.linkedin.com/in/danny-code/
Danny Jessee,USA,Network Content & Delivery Builder since 2022,https://twitter.com/dannyjessee
Danny Steenman,"Amsterdam, The Netherlands",Serverless Builder since 2020,https://towardsthecloud.com
Darla David,Philippines,Front-End Web & Mobile Builder since 2022,https://www.linkedin.com/in/darladvd/
Darren Broderick,United Kingdom,Machine Learning Builder since 2020,https://www.linkedin.com/in/darren-broderick-dbro-16636939/
Darshit Pandya,"Auckland, New Zealand",Serverless Builder since 2021,https://twitter.com/serverless99
Darwin Sanoy,"Philadelphia, USA",Dev Tools Builder since 2020,https://www.linkedin.com/in/darwinsanoy
Darya Petrashka,Poland,Machine Learning Builder since 2022,https://www.linkedin.com/in/daryapetrashka/
Dave Franco,Spain,Containers Builder since 2024,https://linktr.ee/daveops
Dave Hall,"Canberra, Australia",Serverless Builder since 2024,https://linkedin.com/in/davehall
David Arias Fuentes,Colombia,Dev Tools Builder since 2024,https://linktr.ee/devarias
David Behroozi,"Seattle, USA",Serverless Builder since 2024,https://speedrun.nobackspacecrew.com/blog/index.html
David Boyne,United Kingdom,Serverless Builder since 2022,https://www.boyney.io/
David Cepeda,USA,Containers Builder since 2024,https://www.linkedin.com/in/dcepeda05/
David Colebatch,"Toronto, Canada",Cloud Operations Builder since 2020,https://tidalmigrations.com
David Dennis,"Lagos, Nigeria",Containers Builder since 2021,https://www.linkedin.com/in/dennisdavide
David Jacobs,"Bristol, United Kingdom",Network Content & Delivery Builder since 2022,No URL
David Krohn,"Hamburg, Germany",Security Builder since 2020,https://www.linkedin.com/in/daknhh
David Leuliette,"Lille, France",Front-End Web & Mobile Builder since 2023,https://www.linkedin.com/in/david-leuliette/
David Luchi,"Melbourne, Australia",Security Builder since 2022,https://davidluchi.medium.com/
David Melamed,"Tel Aviv, Israel",Serverless Builder since 2023,https://www.linkedin.com/in/mlmd/
David Okeyode,"Lagos, Nigeria",Security Builder since 2022,https://davidokeyode.medium.com
David Olle Parellada,"Barcelona and Vilafranca del Penedes, Spain",Cloud Operations Builder since 2022,https://www.linkedin.com/in/dolleparellada
David Sol,"Ciudad de México, México",Serverless Builder since 2021,https://twitter.com/soldavidcloud
David Vaquero,"Salamanca, Spain",Containers Builder since 2021,https://cursosdedesarrollo.com/
David Victoria,"Monterrey, Mexico",Serverless Builder since 2022,https://davidvictoria.com
David Walker,"Broken Arrow, USA",Dev Tools Builder since 2021,https://radicaldave.com
David Yacoub,"Aswan, Egypt",Machine Learning Builder since 2022,https://www.linkedin.com/in/david-samy-yacoub/
Davide de Paolis,"Hamburg, Germany",Serverless Builder since 2022,https://www.linkedin.com/in/davide-de-paolis-98ab9815/
Dawn Cooper,United States of America,Security Builder since 2022,https://github.com/lisushka
Dean Armada,"Manila, Philippines",Security Builder since 2023,https://www.youtube.com/styxshow
Debarshi Mondal,"Kolkata, India",Dev Tools Builder since 2021,https://www.linkedin.com/in/debarshi-mondal-developer
Debbie Griffin,"Abergavenny, United Kingdom",Cloud Operations Builder since 2022,https://www.linkedin.com/in/debbie-griffin-gcs
Debjeet Bhowmick,"Kolkata, India",Networking & Content Delivery Builder since 2021,https://cloudaffaire.com/
Deepak Bhandari,"Uttarakhand, India",Networking & Content Delivery Builder since 2022,https://www.linkedin.com/in/deepakbhandari22
Deepak Rai,"Mumbai, India",Storage Builder since 2021,https://aws.amazon.com/developer/community/community-builders
Deepak Sharma,"Nuremberg, Germany",Front-End Web & Mobile Builder since 2022,https://www.linkedin.com/in/ideepaksharma/
Delia Ayoko,"Bamenda, Cameroon",Machine Learning Builder since 2022,https://twitter.com/delia_ayoko
Deniz Yilmaz,"London, United Kingdom",Network Content & Delivery Builder since 2024,https://digitalden.cloud/
Deny Julianto,"Jember, Indonesia",Cloud Operations Builder since 2022,https://www.linkedin.com/in/deny-julianto-584328b5/
Denys Carolina Velasquez Centella,Panama,Game Tech Builder since 2022,https://www.linkedin.com/in/denys-carolina-vel%C3%A1squez-centella-1513b824/
Denzel Gustave,"Gros Islet, Saint Lucia",Networking & Content Delivery Builder since 2022,https://www.linkedin.com/in/denzel-gustave-986233214/
Derek Hutson,"Denver, USA",Data Builder since 2023,https://www.linkedin.com/in/derekhutson/
Derek Morgan,"Chicago, USA",Dev Tools Builder since 2023,https://morethancertified.com
Deserie Murembeni,Zimbabwe,Containers Builder since 2022,https://deserie.netlify.app/
Desh Deepak Dhobi,"Kohalpur-14, Banke, Nepal",Dev Tools Builder since 2022,https://www.linkedin.com/in/desh-deepak-dhobi-384917169/
Destiny Erhabor,Nigeria,Front-End Web & Mobile Builder since 2023,https://www.linkedin.com/in/destiny-erhabor
Developer Steve Coochin,"Clermont, QLD, Australia",Containers Builder since 2023,https://developersteve.com
Devi Karuppiah,USA,Front-End Web & Mobile Builder since 2024,https://www.linkedin.com/in/devikaruppiah/
DevonPatrick Adkins,"Durban, South Africa",Networking & Content Delivery Builder since 2022,https://www.linkedin.com/in/devonpatrick-adkins-%E2%98%81-1068781a3/
Dewi Oktaviani,"Surabaya, Indonesia",Data Builder since 2023,https://www.linkedin.com/in/dewi-nurfitri-oktaviani-6b450b22/
Dharani Sowndharya,"Bangalore, India",Network Content & Delivery Builder since 2024,https://www.linkedin.com/in/dharani-sowndharya/
Dharmendra Negi,"Rudraprayag, India",Serverless Builder since 2021,https://www.linkedin.com/in/dharmendra-negi
Dhruv Aggarwal,"Delhi, India",Machine Learning Builder since 2021,https://www.linkedin.com/in/dhruv-a-305713173
Diana Carolina Alfaro Bazán,"Lima, Peru",Dev Tools Builder since 2023,https://www.linkedin.com/in/dianaalfarobazan/
Dibya Darshan Khanal,"Kathmandu, Nepal",Containers Builder since 2023,https://www.linkedin.com/in/dibya-darshan-khanal
Dickson Ng,Hong Kong,Machine Learning Builder since 2023,https://www.linkedin.com/in/tiksangng/
Dickson Victor,Nigeria,Dev Tools Builder since 2022,https://www.linkedin.com/in/dickson-victor
Diego Lopes,"Curitiba, Brazil",Cloud Operations Builder since 2021,https://lopesdiego12.github.io/portfolio/
Diego Martinez Castañeda,"Sevilla, Spain",Network Content & Delivery Builder since 2024,https://n1mh.me
Digambar Nandrekar,"Sangli, INDIA",Containers Builder since 2023,https://www.linkedin.com/in/digambar-nandrekar/
Dimitrios Tosidis,"Komotini, Greece",Machine Learning Builder since 2021,https://www.youtube.com/c/@DimitriosTosidis
Dimple Vaghela,"Ahmedabad, India",Cloud Operations Builder since 2023,https://www.linkedin.com/in/dimple-vaghela-ba45447b
Dinush Chathurya,"Colombo, Sri Lanka",Front-End Web & Mobile Builder since 2021,https://dinushchathurya.github.io/
Dinusha Marathunga,Singapore,Containers Builder since 2023,https://www.linkedin.com/in/dinusha-marathunga
Dipak Prasad Poudel,"Kathmandu, Nepal",Front-End Web & Mobile Builder since 2021,https://www.linkedin.com/in/poudeld/
Dipander Goyal,"Amsterdam, Netherlands",Cloud Operations Builder since 2023,https://www.linkedin.com/in/dipandergoyal
Dipayan Das,"San Jose, USA",Data Builder since 2021,https://www.linkedin.com/in/dipayan-das-b8bb3956/
Divine Odazie,Nigeria,Containers Builder since 2022,https://linkedin.com/in/divine-odazie
Divya Goswami,India,Security Builder since 2022,https://rachejazz.me
Divyam Sharma,USA,Cloud Operations Builder since 2022,https://www.linkedin.com/in/divyam-sharma0501/
Divyanshu Sharma,"Shimla, India",Containers Builder since 2022,https://www.linkedin.com/in/divyanshusharmaa/
Divyanshu Shukla,"Bangalore, India",Security Builder since 2023,https://github.com/justmorpheus/
Dixit R Jain,"Bengaluru, India",Dev Tools Builder since 2023,https://www.linkedin.com/in/dixitrathod16/
Dmitrii Vasilev,"Moscow, Russia",Front-End Web & Mobile Builder since 2020,https://www.jscamp.app
Dmytro Hlotenko,"Vienna, Austria",Cloud Operations Builder since 2024,https://www.linkedin.com/in/dmytro-hlotenko-7aa348151/
Dora B.,"Tunis, Tunisia",Serverless Builder since 2021,https://www.linkedin.com/in/dora-b-667004216
Dorra B. Boukari,"Tunis, Tunisia",Cloud Operations Builder since 2021,https://www.linkedin.com/in/dora-b-667004216/
Douglas Picolotto,Brazil,Containers Builder since 2022,https://www.linkedin.com/in/douglaspicolotto/
Dr. Anthony Lai,Hong Kong,Security Builder since 2023,https://www.vxrl.hk
Dr. Phemelo Tamasiga,"Gaborone, Botswana",Data Builder since 2022,https://phemelotamasiga.wixsite.com/website/
Drishti Jain,USA,Data Builder since 2022,https://www.linkedin.com/in/jaindrishti
Duleendra Warakagoda,Singapore,Serverless Builder since 2022,https://duleendra.medium.com/
Durgadas Kamath,"Goa, India",Serverless Builder since 2023,https://youtube.com/@durgadaskamath
Durgaprasad Budhwani,Australia,Serverless Builder since 2024,https://www.linkedin.com/in/durgaprasad-budhwani/
Dushyant Singh,"Noida, India",Machine Learning Builder since 2021,https://www.linkedIn.com/in/dushyantsingh-ds
Dustin Whited,"Iowa, USA",Security Builder since 2022,https://www.linkedin.com/in/dustinwhited
Dwayne Natwick,"Detroit, USA",Security Builder since 2022,https://linkedin.com/in/dnatwick
Dwi  Fahni Denni,"Jakarta, Indonesia",Containers Builder since 2021,https://id.linkedin.com/in/dfdenni
Dwight McDonald,"Providence, USA",Cloud Operations Builder since 2020,https://www.linkedin.com/in/dwighmcd/
Dylan Hunt,"Taipei, Taiwan",Game Tech Builder since 2020,https://www.linkedin.com/in/dylanhuntdev
Dzenana Dzevlan,"Sarajevo, Bosnia and Herzegovina",Network Content & Delivery Builder since 2022,https://www.linkedin.com/in/dzenanadzevlan/
Dzhuneyt Ahmed,"Varna, Bulgaria",Serverless Builder since 2022,https://dzhuneyt.com
Dzulkiflee Taib,"London, United Kingdom",Machine Learning Builder since 2020,https://bit.ly/metagineers
Ebelechukwu Ndubuka,"Lagos, Nigeria",Data Builder since 2022,https://www.linkedin.com/in/ndubuka-oliveth/
Ebenezer Boampong,"Accra, Ghana",Cloud Operations Builder since 2023,linkedin.com/in/ebenezer-boampong-53aa9514b
Ed Legaspi,Philippines,Serverless Builder since 2022,https://www.linkedin.com/in/czetsuya
Ed Reinoso,"Amsterdam, Netherlands",Serverless Builder since 2021,https://edgardoreinoso.com
Eddie Kwok,Hong Kong,Cloud Operations Builder since 2023,https://www.linkedin.com/in/eddiekwok888/
Eddy Rodriguez,"Lima, Perú",Cloud Operations Builder since 2022,https://www.linkedin.com/in/eddyrodriguezulloa/
Edson Ferreira,"Fortaleza, Brazil",Containers Builder since 2022,https://www.linkedin.com/in/edsoncelio/
Edson Marques,"Contagem, Brazil",Cloud Operations Builder since 2023,https://www.linkedin.com/in/edsonmarquesio/
Eduardo Rabelo,"Auckland, New Zealand",Dev Tools Builder since 2023,https://www.linkedin.com/in/oieduardorabelo/
Edward Allen Mercado,"Macabebe, Philippines",Front-End Web & Mobile Builder since 2021,https://www.linkedin.com/in/edwardallenmercado-677b69139/
Edward Legaspi,"Los Banos, Laguna, Philippines",Serverless Builder since 2022,https://www.linkedin.com/in/czetsuya
Edwin Nikoi,"Accra, Ghana",Cloud Operations Builder since 2021,https://www.linkedin.com/in/edwin-nikoi-9404b314/
Egor Dmitriev,"Utrecht, The Netherlands",Data Builder since 2024,https://egordmitriev.dev/
Ehi Enabs,"Lagos, Nigeria",Containers Builder since 2022,https://www.polywork.com/ehienabs
Ehi Enabulele,"Lagos, Nigeria",Containers Builder since 2022,https://www.polywork.com/ehienabs
Ehimwenman Owodey Edemakhiota,"Benin City, Nigeria",Containers Builder since 2021,https://linktr.ee/ehizman
Eka Ponkratova,Russia,Data Builder since 2021,https://www.linkedin.com/in/eponkratova/
Ekundayo Odeyemi,"Lagos, Nigeria",Networking & Content Delivery Builder since 2020,https://www.linkedin.com/in/dayoodeyemi/
Eliana Perez,Colombia,Serverless Builder since 2022,https://www.linkedin.com/in/eliana-perez-53a929226/
Elias Brange,Sweden,Serverless Builder since 2022,https://eliasbrange.dev
Elif Apaydın,"Istanbul, Turkey",Serverless Builder since 2022,https://github.com/elif-apaydin/
Elizabeth Adeotun Adegbaju,Nigeria,Dev Tools Builder since 2024,https://www.linkedin.com/in/elizabethadegbaju/
Elizabeth Samwel Swai,"Dar es salaam, Tanzania",Networking & Content Delivery Builder since 2022,https://www.linkedin.com/in/elizabeth-samwel
Elizabeth Sims,USA,Security Builder since 2023,https://www.linkedin.com/in/elizabeth-sims/
Ellery Addington-White,"San Diego, USA",Serverless Builder since 2023,https://www.linkedin.com/in/elleryaw/
Elman Badalov,"Istanbul, Turkey",Containers Builder since 2023,https://www.linkedin.com/in/elman-badalov-284504150/
Elsayed Abdelhady,Egypt,Storage Builder since 2022,https://www.linkedin.com/in/elsayed-abdelhady-819697136/
Elvis Onate,Ecuador,Containers Builder since 2021,https://www.linkedin.com/in/elvis-onate/
Emma Moinat,"Lausanne, Switzerland",Serverless Builder since 2023,https://www.linkedin.com/in/emmamoinat/
Emmanuel Imonmion,"Lagos, Nigeria",Machine Learning Builder since 2022,https://ng.linkedin.com/in/imonemmanuel
Emmanuel Martins,"São Paulo, Brazil",Cloud Operations Builder since 2023,https://www.linkedin.com/in/emmanuel-martins-raimundo-98319122/
Emmanuel Mingle,"Accra, Ghana",Data Builder since 2024,https://linkedin.com/in/emmanuel-mingle
Emmanuel Odenyire,"Nairobi, Kenya",Containers Builder since 2021,https://www.linkedin.com/in/emmanuelodenyire/
Emmanuel Oluwayemisi,Nigeria,Dev Tools Builder since 2022,https://www.linkedin.com/in/emmanuel-oluwayemisi/
Endah Bongo-Awah,Cameroon,Data Builder since 2023,https://www.linkedin.com/in/endah-bongo-awah/
Enes Cetinkaya,Latvia,Serverless Builder since 2022,https://enescetinkaya.net/
Engin Altay,Turkey,Containers Builder since 2022,https://www.linkedin.com/in/engin-altay/
Engin Bozaba,"Istanbul, Turkey",Machine Learning Builder since 2022,https://www.linkedin.com/in/enginbozaba/
Enis Gumustas,"Istanbul, Turkey",Machine Learning Builder since 2021,https://silverstone1903.github.io
Enri Peters,"Zutphen, The Netherlands",Serverless Builder since 2023,https://www.linkedin.com/in/enripeters/
Enrico La Sala,"Marsala, Italy",Serverless Builder since 2024,No URL
Ercan Ermis,"Izmir, Turkey",Networking & Content Delivery Builder since 2022,https://ercanermis.com
Erdenay Ateş,"Silivri, Turkey",Containers Builder since 2023,https://www.linkedin.com/in/erdenayates/
Eric Cabrel Tiogo,"Paris, France",Dev Tools Builder since 2023,https://blog.tericcabrel.com
Eric Chou,USA,Network Content & Delivery Builder since 2023,https://www.linkedin.com/in/choueric/
Eric Ellenberg,USA,Security Builder since 2024,https://www.linkedin.com/in/ericellenberg/
Eric Johnson,"Des Moines, USA",Security Builder since 2022,https://pumasecurity.io
Eric Ruan,"Taichung, Taiwan",Data Builder since 2023,https://www.linkedin.com/in/ycjuan
Eric Villa,"Pavia, Italy",Security Builder since 2021,https://www.linkedin.com/in/eric-villa-61b2b613b/
Erik Steenman,"Apeldoorn, Netherlands",Serverless Builder since 2022,https://www.linkedin.com/in/lesteenman
Erika Vacacela,"Quito, Ecuador",Containers Builder since 2024,https://www.linkedin.com/in/evacacela
Ermanno Attardo,Switzerland,Graviton Arm Builder since 2022,https://www.ermannoattardo.com
Ernest Gibbs III,"Rock Hill, SC, USA",Cloud Operations Builder since 2023,https://www.linkedin.com/in/ernest-gibbs-iii/
Ernest Osafo,"London, United Kingdom",Storage Builder since 2023,https://medium.com/@ernestosafo11
Errol Hooper,"Atlanta, USA",Storage Builder since 2021,https://www.linkedin.com/in/errolhooper/
Ervin Szilagyi,"Targu-Mures, Romania",Containers Builder since 2022,https://ervinszilagyi.dev
Esau Reyes,"Mexico City, Mexico",Data Builder since 2023,https://www.linkedin.com/in/esau-reyes-aws-data-specialty/
Eugenio Miguel Mendoza,United Kingdom,Security Builder since 2023,https://www.linkedin.com/in/e-miguel/
Evan Haston,"Hartford, USA",Security Builder since 2023,https://medium.com/@ehaston
Evans Kiprotich,"Nairobi, Kenya",Data Builder since 2023,https://www.linkedin.com/in/evanskiprotich/
Evelyn Arias,"Querétaro, Mexico",Machine Learning Builder since 2022,https://www.instagram.com/evelyn.ariasv/?hl=en
Evertson Croes,Aruba,Front-End Web & Mobile Builder since 2021,https://www.linkedin.com/in/evertson-croes/
Exequiel Barrirero,"Montevideo, Uruguay",Cloud Operations Builder since 2021,https://www.linkedin.com/in/barrireroexequiel/
Eyal Estrin,Israel,Security Builder since 2020,https://www.linkedin.com/in/eyalestrin
Fabian Alvarado,"Texcoco, México",Cloud Operations Builder since 2020,https://www.linkedin.com/in/ingfabianalvarado/
Fabio Cozzolino,"Bari, Italy",Serverless Builder since 2023,https://www.fabiocozzolino.eu
Fabrice Yopa,"Paris, France",Containers Builder since 2023,https://www.linkedin.com/in/fabriceyopa/
Fabrizio Gattuso,"Berlin, Germany",Serverless Builder since 2022,https://www.linkedin.com/in/fabrizio-gattuso-273064a3/
Fady Nabil,"Cairo, Egypt",Front-End Web & Mobile Builder since 2022,https://www.linkedin.com/in/fadynabilofficial
Fady Nagh,Egypt,Containers Builder since 2023,https://fadyio.com/
Fahd Mirza,"Sydney, Australia",Data Builder since 2020,https://www.fahdmirza.com
Faisal Momoniat,United Kingdom,Machine Learning Builder since 2022,https://www.linkedin.com/in/faisalmomoniat
Faith Enilama,"Lekki, Nigeria",Networking & Content Delivery Builder since 2021,https://faithenilama.com/
Faith Tosin Olapade,"Kraków, Poland",Containers Builder since 2021,https://it.linkedin.com/in/faithtosinolapade
Fanuel Nabiswa,"Nairobi, Kenya",Storage Builder since 2023,https://www.linkedin.com/in/fanuel-conrad-377944173/
Farmin Farzin,Canada,Serverless Builder since 2022,https://farmin.dev
Farouq Mousa,"Ramallah, Palestine",Dev Tools Builder since 2023,https://www.linkedin.com/in/farouqmousa/
Farrukh Anwaar,"Dubai, United Arab Emirates",Network Content & Delivery Builder since 2023,https://www.linkedin.com/in/fanwaar
Farrukh Khalid,"Karachi, Pakistan",Serverless Builder since 2023,https://www.linkedin.com/in/farrukhkhalid/
Faruk Ada,"The Hague, Netherlands",Serverless Builder since 2022,https://www.linkedin.com/in/faruk-ada-52454a43/
Farzana Rahman Juthi,"Dhaka, Bangladesh",Serverless Builder since 2022,https://www.linkedin.com/in/farzana-rahman-juthi-85aa9a25/
Fatih Es,"Bursa, Turkey",Front-End Web & Mobile Builder since 2021,https://fatihes1.github.io/
Fawaz C P,India,Storage Builder since 2023,https://www.linkedin.com/in/fawaz-c-p-5618b1183
Fayas Akram,"Colombo, Sri Lanka",Cloud Operations Builder since 2022,https://medium.com/@fayas_akram
Felipe Campos,"São Paulo, Brazil",Dev Tools Builder since 2021,https://kiko.sh
Felipe Costa,"Dallas, USA",Security Builder since 2022,https://linktr.ee/devsecguy
Felipe Curty,Brazil,Dev Tools Builder since 2022,https://felipecrp.github.io
Felipe Malaquias,"Berlin, Germany",Serverless Builder since 2024,https://www.linkedin.com/in/fmalaquias/
Felipe Oliveira,"New York, USA",Networking & Content Delivery Builder since 2021,https://www.ality.com.br
Felix Gutierrez,"Montevideo, Uruguay",Data Builder since 2022,https://gitconnected.com/fvgm-spec
Felix Marasigan,Philippines,Security Builder since 2020,https://iamfelix
Felix Mulei,"Nairobi, Kenya",Data Builder since 2024,https://www.linkedin.com/in/felixmulei/
Fernando Cardoso,"Dallas, USA",Security Builder since 2022,https://linktr.ee/fernandostc
Fernando Catacora,Venezuela,Data Builder since 2021,https://www.redcontable.com
Fernando Paz,Ecuador,Serverless Builder since 2021,https://fernandopaz.com
Fernando Pena,Brazil,Front-End Web & Mobile Builder since 2021,https://www.pena.rocks/
Filip Pýrek,"Brno, Czech Republic",Serverless Builder since 2021,https://filip.pyrek.cz
Filipe Almeida,"Belo Horizonte, Brazil",Serverless Builder since 2021,https://www.filipealmeida.pro/
Florian Clanet,France,Containers Builder since 2021,https://www.linkedin.com/in/florianclanet/
Florian Fuchs,"Munich, Germany",Serverless Builder since 2024,https://flofuchs.com/
Flávio Pimenta,"Valinhos, Brasil",Network Content & Delivery Builder since 2020,https://pimenta.dev
Franchesco Romero,"Guadalajara, Mexico",Containers Builder since 2022,https://www.linkedin.com/in/elchesco/
Francisco Bueno,México,Cloud Operations Builder since 2022,https://www.linkedin.com/in/franciscobueno/
Francisco Mesquita,"São Paulo, Brazil",Front-End Web & Mobile Builder since 2022,https://www.linkedin.com/in/francisco-mesquita
Francisco Souza,"Lisbon, Portugal",Containers Builder since 2024,https://www.linkedin.com/in/franciscojblsouza/
Franck Awounang Nekdem,Cameroon,Machine Learning Builder since 2022,https://www.linkedin.com/in/franck-awounang-nekdem
Frank Idugboe,"Lagos, Nigeria",Cloud Operations Builder since 2022,https://www.linkedin.com/in/frank-idugboe-91b1b999
Frank Pimienta,Spain,Cloud Operations Builder since 2022,https://www.linkedin.com/in/frank-pepper
Franklyne Oluoch,"Nairobi, Kenya",Security Builder since 2022,https://www.linkedin.com/in/franklyne-omondi-30362b138
Franky Chen,"Taipei, Taiwan",Dev Tools Builder since 2024,https://www.linkedin.com/in/frankychenn/
Frantz Kati,"Lagos, Nigeria",Dev Tools Builder since 2023,https://katifrantz.com
Frédéric Barthelet,"Paris, France",Serverless Builder since 2020,https://github.com/fredericbarthelet
Fábio Falcão,"João Pessoa, Brazil",Machine Learning Builder since 2022,https://www.linkedin.com/in/f%C3%A1bio-falc%C3%A3o-6994a616/
Fábio Oliveira,"Rio de Janeiro, Brazil",Data Builder since 2022,https://www.linkedin.com/in/dba-fabiooliveira
Gabriel Alves,"Porto, Portugal",Network Content & Delivery Builder since 2022,https://www.linkedin.com/in/gabrielflorencioalves/
Gabriel Koo,"Hong Kong, Hong Kong",Security Builder since 2022,https://www.linkedin.com/in/gabrielkoo/
Gabriel Santos,"Curitiba, Brazil",Security Builder since 2023,https://medium.com/@gabriel.fist
Gabriel Taiwo Olaleye,"London, United Kingdom",Cloud Operations Builder since 2022,https://cloudpreneur.co.uk/
Gabriela Menocal,"Ottawa, Canada",Networking & Content Delivery Builder since 2021,https://www.linkedin.com/in/gmenocalcover02/
Ganapathy Subramanian Natarajan,"Chennai, India",Data Builder since 2021,https://www.linkedin.com/in/ganapathy-subramanian-natarajan/
Ganesh Boggarapu,"Mumbai, India",Containers Builder since 2022,https://www.linkedin.com/in/ganesh-boggarapu/
Ganesh Swaminathan,United Kingdom,Cloud Operations Builder since 2020,https://twitter.com/vattybear
Gant Laborde,"New Orleans, USA",Front-End Web & Mobile Builder since 2020,https://gantlaborde.com/
Gargee Bhatnagar,India,Storage Builder since 2021,https://www.linkedin.com/in/gargee-bhatnagar-6b7223114
Garvit Kulshrestha,India,Security Builder since 2024,https://www.linkedin.com/in/garvit-kulshrestha/
Gary Sassano,Italy,Dev Tools Builder since 2024,No URL
Gaurav Gupta,"Bengaluru, India",Storage Builder since 2021,https://kumargaurav1247.medium.com/
Gaurav H Kankaria,"Chennai, India",Machine Learning Builder since 2023,https://www.linkedin.com/in/gaurav-kankaria
Gaurav Raje,"New York, USA",Data Builder since 2023,https://mba.finance
Gaurav Rattan,"Chandigarh, India",Containers Builder since 2023,https://www.linkedin.com/in/gaurav-rattan-b6316b204/
Gaurav Sharma,"Jaipur, India",Cloud Operations Builder since 2023,https://www.youtube.com/gouravsharma
Gaurav Thalpati,"Pune, India",Data Builder since 2023,https://www.linkedin.com/in/gauravthalpati/
Gaurav Tredia,"Dimona, Israel",Cloud Operations Builder since 2024,https://linkedin.com/in/gaurav-tredia
Gauri Shirkande,"Pune, India",Containers Builder since 2023,https://www.linkedin.com/in/gauri-shirkande/
Gbemisola Esho,Nigeria,Security Builder since 2022,https://dev.to/aws-builders/go-build-in-the-cloud-pt2-jc2
Gbenga Ajakaye,"Washington D.C., USA",Containers Builder since 2022,https://www.linkedin.com/in/gajak18/
Geethika Guruge,"Auckland, New Zealand",Serverless Builder since 2023,https://www.linkedin.com/in/geethika-guruge/
Gema Landaverde (blackgem),"Mexico City, Mexico",Security Builder since 2023,https://www.theblackgem.net/
Gentaro Kadonaka,"Yokohama, Japan",Cloud Operations Builder since 2023,https://twitter.com/kado__gen
Geoff Loh,"Auckland, New Zealand",Cloud Operations Builder since 2024,https://medium.com/@geoff1337
Geoffrey Wiseman,"Toronto, Canada",Containers Builder since 2020,https://www.codiform.com
George Davis,"Kelowna, Canada",Serverless Builder since 2022,https://www.linkedin.com/in/georgedavisc/
George Michaelides,USA,Security Builder since 2022,https://www.gmichael.com
George Offley,"Boston, USA",Serverless Builder since 2020,https://georgeoffley.com/
George Palangattil Koshy,"Brno, Czech Republic",Cloud Operations Builder since 2024,https://www.linkedin.com/in/george-palangattil/
Georgios Goniotakis,"Valletta, Malta",Containers Builder since 2022,https://www.linkedin.com/in/georgiosgoniotakis
Gerald Bachlmayr,"Sydney, Australia",Security Builder since 2023,https://www.linkedin.com/in/bachlmayr/
Gerald Stewart,"Belfast, Ireland",Dev Tools Builder since 2021,https://twitter.com/_gerald20
Gerardo Arroyo,"San José, Costa Rica",Serverless Builder since 2021,https://gerardo.dev
Gerardo Castro Arica,"Callao, Peru",Security Builder since 2020,https://gerardokaztro.com
Gerardo Lopez,Costa Rica,Containers Builder since 2022,https://github.com/gelopfalcon
Gerardo Moreno Ramirez,"Mexicali, Mexico",Machine Learning Builder since 2024,https://linktr.ee/gerardo_moreno
Gerardo Rueda,"Barranquilla, Colombia",Security Builder since 2021,https://www.youtube.com/spartancybersecurity/
Gernot Glawe,Germany,Dev Tools Builder since 2020,https://www.linkedin.com/in/gernot-glawe-67035a7/
Gerome Pagatpatan,Philippines,Front-End Web & Mobile Builder since 2021,https://www.linkedin.com/in/gerome-pagatpatan/
Gianfranco Arena,"Cosenza, Italy",Data Builder since 2023,www.linkedin.com/in/gianfranco-arena-98611b74
Gianluigi Mucciolo,"Rome, Italy",Machine Learning Builder since 2020,https://www.linkedin.com/in/mucciolo91/
Gibson Ong,Singapore,Containers Builder since 2023,https://www.linkedin.com/in/gibson-ong/
Gideon Onyewuenyi,"Abuja, Nigeria",Machine Learning Builder since 2022,https://www.linkedin.com/in/gideononyewuenyi/
